segment_id,start_utc,end_utc,minutes,soc_start_pct,soc_end_pct,soc_drop_pct,temp_mean_C,screen_on_ratio,net_mode
123,2019-10-09 10:34:00+00:00,2019-10-10 05:52:00+00:00,1159,100.0,0.857142857142857,99.14285714285714,29.983332258290993,0.0,wi-fi
198,2019-10-15 19:51:00+00:00,2019-10-16 14:45:00+00:00,1135,100.0,1.0,99.0,29.731943173077536,0.0,wi-fi
124,2019-10-10 11:54:00+00:00,2019-10-11 05:32:00+00:00,1059,100.0,6.2272727272727275,93.77272727272728,29.902727148389328,0.0,wi-fi
197,2019-10-14 18:11:00+00:00,2019-10-15 06:07:00+00:00,717,67.0909090909091,1.8000000000000003,65.29090909090908,32.30762710789907,0.0,wi-fi
252,2019-10-17 10:11:00+00:00,2019-10-17 22:19:00+00:00,729,65.27272727272727,1.0,64.27272727272727,34.17793654257646,0.0,none
135,2019-10-11 14:23:00+00:00,2019-10-12 04:29:00+00:00,847,64.81818181818181,1.0,63.818181818181806,33.31639695146779,0.0,none
136,2019-10-12 09:25:00+00:00,2019-10-12 11:51:00+00:00,147,10.727272727272727,1.0,9.727272727272727,26.497916384447,0.0,wi-fi
251,2019-10-17 08:37:00+00:00,2019-10-17 09:40:00+00:00,64,77.0909090909091,71.81818181818181,5.272727272727284,31.38184637942702,0.0,wi-fi
134,2019-10-11 12:35:00+00:00,2019-10-11 13:03:00+00:00,29,56.09090909090909,52.0,4.09090909090909,27.398275862068964,0.0,wi-fi
250,2019-10-17 07:42:00+00:00,2019-10-17 08:13:00+00:00,32,82.45454545454545,80.72727272727273,1.7272727272727217,31.424076704545456,0.0,wi-fi
133,2019-10-11 11:56:00+00:00,2019-10-11 12:10:00+00:00,15,63.63636363636363,62.18181818181818,1.4545454545454528,31.47636363636364,0.0,wi-fi
132,2019-10-11 10:47:00+00:00,2019-10-11 10:57:00+00:00,11,77.9090909090909,76.63636363636364,1.2727272727272698,31.19876033057851,0.0,wi-fi
131,2019-10-11 10:23:00+00:00,2019-10-11 10:24:00+00:00,2,82.81818181818181,82.72727272727273,0.09090909090907484,31.331818181818182,0.0,wi-fi
255,2019-10-18 07:31:00+00:00,2019-10-18 07:46:00+00:00,16,34.0,34.09090909090909,-0.0909090909090915,30.194034090909092,0.0,wi-fi
117,2019-10-09 07:52:00+00:00,2019-10-09 07:53:00+00:00,2,92.0909090909091,92.45454545454545,-0.363636363636366,28.20909090909091,1.0,wi-fi
-1,2019-10-09 05:45:00+00:00,2019-10-09 05:47:00+00:00,3,16.5,17.0,-0.5000000000000004,28.60734126984127,1.0,wi-fi
118,2019-10-09 07:54:00+00:00,2019-10-09 08:01:00+00:00,8,92.9090909090909,95.27272727272727,-2.3636363636363567,28.086363636363636,1.0,wi-fi
130,2019-10-11 08:46:00+00:00,2019-10-11 09:07:00+00:00,22,61.227272727272734,65.81818181818181,-4.590909090909079,25.916942148760338,1.0,wi-fi
128,2019-10-11 08:27:00+00:00,2019-10-11 08:44:00+00:00,18,55.636363636363626,60.31818181818181,-4.681818181818187,25.094949494949496,1.0,wi-fi
258,2019-10-18 10:11:00+00:00,2019-10-18 10:36:00+00:00,26,72.0909090909091,78.36363636363636,-6.272727272727263,33.26643356643356,1.0,wi-fi
254,2019-10-18 07:02:00+00:00,2019-10-18 07:25:00+00:00,24,26.454545454545453,33.31818181818182,-6.863636363636366,31.02121212121212,1.0,wi-fi
257,2019-10-18 09:38:00+00:00,2019-10-18 10:09:00+00:00,32,63.54545454545455,71.63636363636364,-8.090909090909093,32.743465909090915,1.0,wi-fi
259,2019-10-18 10:38:00+00:00,2019-10-18 13:26:00+00:00,169,78.9090909090909,89.0,-10.090909090909095,32.79337005942776,0.3905325443786982,wi-fi
125,2019-10-11 07:45:00+00:00,2019-10-11 08:24:00+00:00,40,40.81818181818182,54.27272727272727,-13.454545454545453,25.150454545454544,1.0,wi-fi
253,2019-10-18 06:09:00+00:00,2019-10-18 07:00:00+00:00,52,11.714285714285714,25.818181818181817,-14.103896103896105,31.986917873792873,1.0,wi-fi
256,2019-10-18 07:58:00+00:00,2019-10-18 09:36:00+00:00,99,36.18181818181818,63.0,-26.81818181818182,32.494903581267224,1.0,wi-fi
