device_id,log_r,r,scr,net_wifi,net_mobile,T0
352944080639365,-3.419546520330325,0.032727272727273604,0,0,0,-5.172727272727272
352944080639365,-3.131864447878549,0.043636363636364583,0,0,0,-5.1636363636363605
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.063636363636359
352944080639365,-2.954183270641112,0.05212121212121246,0,0,0,-4.927272727272722
352944080639365,-2.9495428910846075,0.052363636363636834,0,0,0,-4.809090909090909
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.711363636363636
352944080639365,-2.9087208965643794,0.054545454545453564,0,0,0,-4.613636363636363
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-4.515909090909098
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.4181818181818215
352944080639365,-3.1318644478785798,0.04363636363636325,0,0,0,-4.336363636363636
352944080639365,-3.419546520330366,0.03272727272727227,0,0,0,-4.2545454545454575
352944080639365,-3.82501162843851,0.02181818181818196,0,0,0,-4.1727272727272755
352944080639365,-4.5181588089984555,0.01090909090909098,0,0,0,-4.109090909090909
352944080639365,-4.518158808998394,0.010909090909091645,0,0,0,-4.59090909090909
352944080639365,-3.8250116284385403,0.021818181818181293,0,0,0,-4.618181818181821
352944080639365,-3.419546520330325,0.032727272727273604,0,0,0,-4.636363636363637
352944080639365,-3.1318644478785647,0.04363636363636392,0,0,0,-4.645454545454552
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-4.6545454545454525
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.6636363636363605
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.690909090909091
352944080639365,-2.9087208965643794,0.054545454545453564,0,0,0,-4.727272727272723
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.772727272727273
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.818181818181817
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.872727272727275
352944080639365,-3.131864447878549,0.043636363636364583,0,0,0,-4.927272727272722
352944080639365,-3.4195465203303455,0.03272727272727294,0,0,0,-4.981818181818184
352944080639365,-3.82501162843851,0.02181818181818196,0,0,0,-5.027272727272724
352944080639365,-4.5181588089984555,0.01090909090909098,0,0,0,-5.0727272727272705
352944080639365,-4.518158808998394,0.010909090909091645,0,0,0,-4.827272727272728
352944080639365,-3.8250116284385403,0.021818181818181293,0,0,0,-4.800000000000001
352944080639365,-3.419546520330366,0.03272727272727227,0,0,0,-4.781818181818188
352944080639365,-3.1318644478785647,0.04363636363636392,0,0,0,-4.7545454545454575
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-4.727272727272723
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.709090909090911
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.690909090909091
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-4.672727272727272
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.6636363636363605
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-4.6636363636363605
352944080639365,-2.9087208965643794,0.054545454545453564,0,0,0,-4.6636363636363605
352944080639365,-3.1318644478785647,0.04363636363636392,0,0,0,-4.6727272727272755
352944080639365,-3.419546520330366,0.03272727272727227,0,0,0,-4.681818181818183
352944080639365,-3.8250116284385403,0.021818181818181293,0,0,0,-4.699999999999999
352944080639365,-4.518158808998516,0.010909090909090313,0,0,0,-4.718181818181815
352944080639365,-4.518158808998333,0.010909090909092312,0,0,0,-5.436363636363637
352944080639365,-3.82501162843851,0.02181818181818196,0,0,0,-5.454545454545453
352944080639365,-3.4195465203303455,0.03272727272727294,0,0,0,-5.463636363636365
352944080639365,-3.131864447878549,0.043636363636364583,0,0,0,-5.481818181818184
352944080639365,-2.9087208965643425,0.05454545454545556,0,0,0,-5.481818181818184
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.463636363636365
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.445454545454549
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-5.427272727272733
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.40909090909091
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.399999999999999
352944080639365,-2.9087208965643794,0.054545454545453564,0,0,0,-5.399999999999999
352944080639365,-3.1318644478785647,0.04363636363636392,0,0,0,-5.40909090909091
352944080639365,-3.419546520330366,0.03272727272727227,0,0,0,-5.4181818181818215
352944080639365,-3.8250116284385403,0.021818181818181293,0,0,0,-5.427272727272722
352944080639365,-4.518158808998516,0.010909090909090313,0,0,0,-5.436363636363637
352944080639365,-4.518158808998333,0.010909090909092312,0,0,0,-5.354545454545452
352944080639365,-3.82501162843851,0.02181818181818196,0,0,0,-5.3454545454545475
352944080639365,-3.419546520330325,0.032727272727273604,0,0,0,-5.336363636363636
352944080639365,-3.131864447878549,0.043636363636364583,0,0,0,-5.336363636363636
352944080639365,-2.9087208965643425,0.05454545454545556,0,0,0,-5.336363636363636
352944080639365,-2.9087208965643794,0.054545454545453564,0,0,0,-5.336363636363636
352944080639365,-2.908720896564355,0.0545454545454549,0,0,0,-5.336363636363636
352944080639365,-2.908720896564367,0.05454545454545423,0,0,0,-5.336363636363636
